name,Photo principale (URL),Photos extra URL 1,Photos extra URL 2,Notes
"SONESTA MAHO BEACH RESORT AND CASINO","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36ea1d4628451f5df9f994/c0d9c1b2-72fc-4de2-a31f-dbaa809712c9.jpg","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36ea1d4628451f5df9f994/ec6b3add-bdf6-4baa-a767-4c86fb4b528f.jpg","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36ea1d4628451f5df9f994/ce539ff8-0c1a-411b-af7c-8aef1f1033d5.jpg","GHL Photos extra = 1 fichier max"
"ROYALTON SPLASH PUNTA CANA","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36e13862065c34b74d6991/8fd29d95-0a0c-4d96-890c-3a82880e4616.jpg","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36e13862065c34b74d6991/60db44d6-7558-4fb8-9a00-71550c5a45e2.jpg","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36e13862065c34b74d6991/20594b0b-5add-445d-b2ad-1bc327eb8500.jpg","GHL Photos extra = 1 fichier max"
"RIU PLAYA BLANCA","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36d84e9d7d5307d2a8ff25/31a727db-77cb-429a-9ec9-d9d78f49f9fc.jpg","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36d84e9d7d5307d2a8ff25/42b543b2-ffee-4b59-9062-5408637dd3e5.jpg","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36d84e9d7d5307d2a8ff25/e4d3b7ce-69da-4471-87dc-96c437198c10.jpg","GHL Photos extra = 1 fichier max"
"HENRY MORGAN BEACH HOTEL","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36d033ead11ccf587407d3/88170c64-5502-4efa-b59f-90a5733c66ae.jpg","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36d033ead11ccf587407d3/e819f2b7-a81f-433a-a2af-97b87cb69c3e.jpeg","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36d033ead11ccf587407d3/3552985a-1ebd-46b2-a096-b2e74992ada4.jpg","GHL Photos extra = 1 fichier max"
Melia Cozumel,"https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36c89065a885178d5968ef/00d5b600-1750-4781-bb1e-bfdd4321bcf6.jpg",,,
"Sandos Playacar","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36c04b34c7613eb3f23d7c/19f86262-9a05-4119-ba58-83df7d6a7c69.jpg","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36c04b34c7613eb3f23d7c/44f9bb08-3194-4c8f-bd0b-291534052e05.jpg","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a36c04b34c7613eb3f23d7c/39b0f8c6-e987-489d-aa4c-c6cb7635bc77.jpg","GHL Photos extra = 1 fichier max"
"Gran Muthu Runaway Bay Club Caribbean","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a35aea92260808c5b8b82c9/f52ee776-4f97-493c-849f-4e2d187e4515.jpg","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a35aea92260808c5b8b82c9/1661a380-d5a8-4b86-9365-00bf8ba2a0f9.jpg",,
"Viva Fortuna Beach by Wyndham","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a35adb70ab1013d3542fa97/e0a7fcc5-7d59-4708-817c-e1e835607ffb.jpg","https://msgsndr-private.storage.googleapis.com/location/V90iyFBbBrCg3tpctRjc/custom-Field/6a35adb70ab1013d3542fa97/2b3843ff-46d5-42eb-ae60-90334a25d71d.jpg",,
